Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Gene family description	Ensembl ID (mapped data supplied by Ensembl)
ABCB5		EST422562, ABCB5beta, ABCB5alpha	NM_178559	"ATP binding cassette transporters"	ENSG00000004846
ABCB6		EST45597, umat, MTABC3	NM_005689	"ATP binding cassette transporters"	ENSG00000115657
ABCB7	ABC7	EST140535, Atm1p, ASAT	NM_004299	"ATP binding cassette transporters"	ENSG00000131269
ABCB8		EST328128, M-ABC1, MABC1	NM_007188	"ATP binding cassette transporters"	ENSG00000197150
ABCB9		EST122234	NM_019624	"ATP binding cassette transporters"	ENSG00000150967
ABCB10		EST20237, M-ABC2, MTABC2	NM_012089	"ATP binding cassette transporters"	ENSG00000135776
ABCB10P1	ABCB10P	M-ABC2, MABC2		"ATP binding cassette transporters"	ENSG00000259689
ABCB10P2				"ATP binding cassette transporters"	
ABCB10P3				"ATP binding cassette transporters"	ENSG00000261524
ABCB10P4				"ATP binding cassette transporters"	ENSG00000260053
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	NM_003742	"ATP binding cassette transporters"	ENSG00000073734
ABCC1	MRP, MRP1	GS-X	NM_004996	"ATP binding cassette transporters"	ENSG00000103222
ABCC2	CMOAT	DJS, MRP2, cMRP	NM_000392	"ATP binding cassette transporters"	ENSG00000023839
ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	NM_020038	"ATP binding cassette transporters"	ENSG00000108846
ABCC4		MRP4, EST170205, MOAT-B, MOATB	NM_005845	"ATP binding cassette transporters"	ENSG00000125257
ABCC5		MRP5, SMRP, EST277145, MOAT-C	NM_005688	"ATP binding cassette transporters"	ENSG00000114770
ABCC5-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000223882
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7		"ATP binding cassette transporters"	ENSG00000091262
ABCC6P1					ENSG00000256340
ABCC6P2					ENSG00000255277
ABCC7~withdrawn					
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	NM_000352	"ATP binding cassette transporters"	ENSG00000006071
ABCC9		SUR2, CMD1O	NM_005691	"ATP binding cassette transporters"	ENSG00000069431
ABCC10		EST182763, MRP7, SIMRP7	NM_033450	"ATP binding cassette transporters"	ENSG00000124574
ABCC11		MRP8	NM_032583	"ATP binding cassette transporters"	ENSG00000121270
ABCC12		MRP9	NM_033226	"ATP binding cassette transporters"	ENSG00000140798
ABCC13		PRED6, C21orf73		"ATP binding cassette transporters"	ENSG00000243064
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	NM_000033	"ATP binding cassette transporters"	ENSG00000101986
ABCD1P1				"ATP binding cassette transporters"	
ABCD1P2		bA453N3.6		"ATP binding cassette transporters"	ENSG00000215151
ABCD1P3				"ATP binding cassette transporters"	ENSG00000261233
ABCD1P4				"ATP binding cassette transporters"	ENSG00000225293
ABCD1P5					ENSG00000214330
ABCD2	ALDL1	ALDR, ALDRP	NM_005164	"ATP binding cassette transporters"	ENSG00000173208
ABCD3	PXMP1	PMP70, ZWS2	NM_002858	"ATP binding cassette transporters"	ENSG00000117528
ABCD4	PXMP1L	PMP69, P70R, EST352188	NM_005050	"ATP binding cassette transporters"	ENSG00000119688
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP	NM_002940	"ATP binding cassette transporters"	ENSG00000164163
ABCF1	ABC50	EST123147		"ATP binding cassette transporters"	
ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	NM_005692	"ATP binding cassette transporters"	ENSG00000033050
ABCF3		EST201864	NM_018358	"ATP binding cassette transporters"	ENSG00000161204
ABCG1		ABC8	NM_207174	"ATP binding cassette transporters"	ENSG00000160179
ABCG2		EST157481, MXR, BCRP, ABCP, CD338	NM_004827	"ATP binding cassette transporters", "CD molecules"	ENSG00000118777
ABCG4		WHITE2	NM_022169	"ATP binding cassette transporters"	ENSG00000172350
ABCG5		STSL	NM_022436	"ATP binding cassette transporters"	ENSG00000138075
ABCG8		GBD4	NM_022437	"ATP binding cassette transporters"	ENSG00000143921
ABCR~withdrawn					
ABHD1		LABH1, FLJ36128	NM_032604	"Abhydrolase domain containing"	ENSG00000143994
ABHD2		LABH2		"Abhydrolase domain containing"	ENSG00000140526
ABHD3		LABH3		"Abhydrolase domain containing"	ENSG00000158201
ABHD4		FLJ12816		"Abhydrolase domain containing"	ENSG00000100439
ABHD5		CGI-58, NCIE2	NM_016006	"Abhydrolase domain containing"	ENSG00000011198
ABHD6			NM_020676	"Abhydrolase domain containing"	ENSG00000163686
ABHD8		FLJ11743, MGC14280, MGC2512	NM_024527	"Abhydrolase domain containing"	ENSG00000127220
ABHD10		FLJ11342	NM_018394	"Abhydrolase domain containing"	ENSG00000144827
ABHD11	WBSCR21	PP1226		"Abhydrolase domain containing"	ENSG00000106077
ABHD11-AS1	WBSCR26	NCRNA00035	NR_026690	"ncRNAs / Long non-coding RNAs"	ENSG00000225969
ABHD11-AS2				"ncRNAs / Long non-coding RNAs"	ENSG00000214738
ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	NM_015600	"Abhydrolase domain containing"	ENSG00000100997
ABHD12B	C14orf29	BEM46L3		"Abhydrolase domain containing"	ENSG00000131969
ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	NM_032859	"Abhydrolase domain containing"	ENSG00000139826
ABHD14A		DKFZP564O243, DORZ1	NM_015407	"Abhydrolase domain containing"	ENSG00000248487
ABHD14A-ACY1					ENSG00000254782
ABHD14B		MGC15429, CIB	NM_032750	"Abhydrolase domain containing"	ENSG00000114779
ABHD15			NM_198147	"Abhydrolase domain containing"	ENSG00000168792
ABHD16A	BAT5	NG26, D6S82E			
ABHD16B	C20orf135	dJ591C20.1			ENSG00000183260
ABI1	SSH3BP1	E3B1, ABI-1	NM_005470		ENSG00000136754
ABI1P1	SSH3BP1P, ABI1P				
ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	NM_005759		ENSG00000138443
ABI3		NESH, SSH3BP3	NM_016428		ENSG00000108798
ABI3BP		NESHBP, DKFZP586L2024, TARSH			ENSG00000154175
ABL1	ABL	JTK7, c-ABL, p150	NM_007313		ENSG00000097007
ABL2	ABLL	ARG	NM_005158		ENSG00000143322
ABLIM1	LIMAB1, ABLIM	abLIM, limatin			ENSG00000099204
ABLIM2		KIAA1808	NM_001130083		ENSG00000163995
ABLIM3		KIAA0843	NM_014945		ENSG00000173210
ABO		A3GALNT, A3GALT1	NM_020469	"Blood group antigens"	ENSG00000175164
ABP1		AOC1, DAO	NM_001091		ENSG00000002726
ABR		MDB		"Rho guanine nucleotide exchange factors"	ENSG00000159842
ABRA		STARS	NM_139166		ENSG00000174429
ABRACL	C6orf115	PRO2013, HSPC280, Costars	NM_021243		ENSG00000146386
ABT1					ENSG00000146109
ABT1P1			NG_025142		ENSG00000250496
ABTB1		BPOZ, EF1ABP, Btb3	NM_172027		ENSG00000114626
ABTB2		DKFZP586C1619	NM_145804		ENSG00000166016
ACAA1			NM_001607		ENSG00000060971
ACAA2		DSAEC	NM_006111		ENSG00000167315
ACACA	ACAC, ACC	ACC1	NM_198836		ENSG00000132142
ACACB		HACC275, ACC2, ACCB	NM_001093		ENSG00000076555
ACAD8			NM_014384		ENSG00000151498
ACAD9		NPD002, MGC14452	NM_014049		ENSG00000177646
ACAD10		MGC5601	NM_025247		ENSG00000111271
ACAD11		FLJ12592	NM_032169		ENSG00000240303
ACADL		LCAD, ACAD4	NM_001608		ENSG00000115361
ACADM		MCAD, MCADH, ACAD1			ENSG00000117054
ACADS		SCAD, ACAD3	NM_000017		ENSG00000122971
ACADSB		SBCAD, ACAD7	NM_001609		ENSG00000196177
ACADVL		VLCAD, LCACD, ACAD6	NM_000018		ENSG00000072778
ACAD~withdrawn					
ACAN	MSK16, CSPG1, AGC1	CSPGCP	NM_001135	"Proteoglycans / Extracellular Matrix  : Aggrecans/versicans"	ENSG00000157766
ACAP1	CENTB1	KIAA0050	NM_014716	"ADP-ribosylation factor GTPase activating proteins"	ENSG00000072818
ACAP2	CENTB2	KIAA0041, CNT-B2	NM_012287	"ADP-ribosylation factor GTPase activating proteins"	ENSG00000114331
ACAP2-IT1				"ncRNAs / Long non-coding RNAs"	ENSG00000229325
ACAP3	CENTB5	KIAA1716	NM_030649	"ADP-ribosylation factor GTPase activating proteins"	ENSG00000131584
ACAT1	ACAT	THIL	NM_000019		ENSG00000075239
ACAT2			NM_005891		ENSG00000120437
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	NM_022735	"A-kinase anchor proteins"	ENSG00000182827
ACBD4		FLJ13322	NM_024722		ENSG00000181513
ACBD5		DKFZp434A2417, KIAA1996	NM_145698		ENSG00000107897
ACBD6		MGC2404	NM_032360		ENSG00000135847
ACBD7		FLJ38219, bA455B2.2			ENSG00000176244
ACBP~withdrawn					
ACCN~withdrawn					
ACCPN~withdrawn					
ACCS		PHACS, ACS	NM_032592		ENSG00000110455
ACCSL			NM_001031854		ENSG00000205126
ACC~withdrawn					
ACD		Ptop, Pip1, Tpp1, Tint1	NM_022914		ENSG00000102977
ACE	DCP1	ACE1, CD143		"CD molecules"	ENSG00000159640
ACE2					ENSG00000130234
ACER1	ASAH3		NM_133492		ENSG00000167769
ACER2	ASAH3L	FLJ41587	XM_294540		ENSG00000177076
ACER3	PHCA	FLJ11238, APHC	NM_018367		ENSG00000078124
ACHAP~withdrawn					
ACHE	YT		NM_015831	"Blood group antigens"	ENSG00000087085
ACHM1	RMCH				
ACHM2~withdrawn					
ACHM3~withdrawn					
ACHRD~withdrawn					
ACHRG~withdrawn					
ACH~withdrawn					
ACIN1	ACINUS	KIAA0670, fSAP152	NM_014977		ENSG00000100813
ACLS					
ACLY		ATPCL, CLATP, ACL	NM_001096		ENSG00000131473
ACMG~withdrawn					
ACMSD					ENSG00000153086
ACN9		DC11	NM_020186		ENSG00000196636
ACO1	IREB1	IRP1, IREBP	NM_002197		ENSG00000122729
ACO2		ACONM	NM_001098		ENSG00000100412
ACOT1		ACH2, CTE-1, LACH2	NM_001037161	"Acyl CoA thioesterases"	ENSG00000184227
ACOT2		Mte1, ZAP128	NM_006821	"Acyl CoA thioesterases"	ENSG00000119673
ACOT4		FLJ31235, PTE-Ib, PTE2B	NM_152331	"Acyl CoA thioesterases"	ENSG00000177465
ACOT6	C14orf42		NM_001037162	"Acyl CoA thioesterases"	ENSG00000205669
ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	NM_007274	"Acyl CoA thioesterases"	ENSG00000097021
ACOT8	PTE1	hACTE-III, hTE, PTE-2	NM_183386	"Acyl CoA thioesterases"	ENSG00000101473
ACOT9		CGI-16, MT-ACT48, ACATE2	NM_012332	"Acyl CoA thioesterases"	ENSG00000123130
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	NM_015547	"Acyl CoA thioesterases", "StAR-related lipid transfer (START) domain containing"	ENSG00000162390
ACOT12		Cach, THEAL, STARD15	NM_130767	"Acyl CoA thioesterases", "StAR-related lipid transfer (START) domain containing"	ENSG00000172497
ACOT13	THEM2	HT012	NM_018473	"Acyl CoA thioesterases"	ENSG00000112304
ACOX1		PALMCOX			ENSG00000161533
ACOX2		BRCACOX, BRCOX			ENSG00000168306
ACOX3					ENSG00000087008
ACOXL		FLJ11042	NM_018308		ENSG00000153093
ACP1				"Protein tyrosine phosphatases / Class II Cys-based PTPs"	ENSG00000143727
ACP2			NM_001610		ENSG00000134575
ACP5		TRAP			ENSG00000102575
ACP6		LPAP, ACPL1	NM_016361		ENSG00000162836
ACPL2		FLJ23751	NM_152282		ENSG00000155893
ACPP		ACP3, ACP-3	NM_001099		ENSG00000014257
ACPT			NM_033068		ENSG00000142513
ACR			NM_001097		ENSG00000100312
ACRBP		SP32, OY-TES-1, CT23	NM_032489		ENSG00000111644
ACRC					ENSG00000147174
ACRV1		SPACA2, SP-10, D11S4365	NM_001612		ENSG00000134940
ACS3~withdrawn					
ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	NM_015162	"Acyl-CoA synthetases"	ENSG00000103740
ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	NM_030924	"Acyl-CoA synthetases"	ENSG00000130377
ACSF2		FLJ20920, ACSMW	NM_025149	"Acyl-CoA synthetases"	ENSG00000167107
ACSF3			NM_174917	"Acyl-CoA synthetases"	ENSG00000176715
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	NM_001995	"Acyl-CoA synthetases"	ENSG00000151726
ACSL3	FACL3	ACS3, PRO2194	NM_004457	"Acyl-CoA synthetases"	ENSG00000123983
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	NM_004458	"Acyl-CoA synthetases"	ENSG00000068366
ACSL5	FACL5	ACS5, ACS2	NM_016234	"Acyl-CoA synthetases"	ENSG00000197142
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	NM_015256	"Acyl-CoA synthetases"	ENSG00000164398
ACSM1	BUCS1	MACS1	NM_052956	"Acyl-CoA synthetases"	ENSG00000166743
ACSM2A	ACSM2	A-923A4.1, MGC150530	NM_001010845	"Acyl-CoA synthetases"	ENSG00000183747
ACSM2B	ACSM2	HXMA, HYST1046	NM_182617	"Acyl-CoA synthetases"	ENSG00000066813
ACSM3	SAH	SA	NM_005622	"Acyl-CoA synthetases"	ENSG00000005187
ACSM4			NM_001080454	"Acyl-CoA synthetases"	ENSG00000215009
ACSM5		FLJ20581	NM_017888	"Acyl-CoA synthetases"	ENSG00000183549
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	NM_032501	"Acyl-CoA synthetases"	ENSG00000154930
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	NM_018677	"Acyl-CoA synthetases"	ENSG00000131069
ACSS3		FLJ21963	NM_024560	"Acyl-CoA synthetases"	ENSG00000111058
ACTA1	ACTA		NM_001100		ENSG00000143632
ACTA2		ACTSA	NM_001613		ENSG00000107796
ACTA3~withdrawn					
ACTB			NM_001101		ENSG00000075624
ACTBL2		DKFZp686D0972	NM_001017992		ENSG00000169067
ACTBP1			NG_022596		ENSG00000229145
ACTBP2			NG_003019		
ACTBP3					
ACTBP4					
ACTBP5~withdrawn					
ACTBP6			NG_008793		ENSG00000203413
ACTBP7					ENSG00000185607
ACTBP8		ACTBP2	NG_000840		ENSG00000220267
ACTBP9			NG_003162		
ACTBP10					
ACTBP11					ENSG00000188460
ACTBP12	ACTGP5		NG_026958		ENSG00000233125
ACTC1	ACTC	CMD1R	NM_005159		ENSG00000159251
ACTG1	ACTG, DFNA20, DFNA26		NM_001614		ENSG00000184009
ACTG1P1	ACTGP1, ACT1GP1		NG_001068		ENSG00000178631
ACTG1P2	ACTL2, ACTGP2		NG_004636		ENSG00000229129
ACTG1P3	ACTGP3		NG_000842		ENSG00000215388
ACTG1P4	ACTGP4				ENSG00000236085
ACTG1P6	ACTGP6				
ACTG1P7	ACTGP7				
ACTG1P8	ACTGP8				
ACTG1P9	ACTGP9		NG_001069		ENSG00000229349
ACTG1P10	ACTL1, ACTGP10		NG_003039		ENSG00000231340
ACTG1P11			NG_004636		ENSG00000229465
ACTG2	ACTL3, ACTA3	ACTSG	NM_001615		ENSG00000163017
ACTL2~withdrawn					
ACTL3~withdrawn					
ACTL4					
ACTL5~withdrawn					
ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	NM_004301	"INO80 complex subunits"	ENSG00000136518
ACTL6B	ACTL6	BAF53B	NM_016188		ENSG00000077080
ACTL7A			NM_006687		ENSG00000187003
ACTL7B		Tact1	NM_006686		ENSG00000148156
ACTL8		CT57	NM_030812		ENSG00000117148
ACTL9		MGC33407	NM_178525		ENSG00000181786
ACTL10	C20orf134				ENSG00000182584
ACTN1			NM_001102		ENSG00000072110
ACTN1-AS1	C14orf84			"ncRNAs / Long non-coding RNAs"	ENSG00000259062
ACTN2			NM_001103		ENSG00000077522
ACTN3			NM_001104		ENSG00000248746
ACTN4	FSGS1				ENSG00000130402
ACTR1A		ARP1			ENSG00000138107
ACTR1B	CTRN2		NM_005735		ENSG00000115073
ACTR2		ARP2	NM_001005386		ENSG00000138071
ACTR3		ARP3	NM_005721		ENSG00000115091
ACTR3B		ARP11, ARP3beta	NM_020445		ENSG00000133627
ACTR3BP1			NG_005799		
ACTR3BP2		FKSG73			ENSG00000226481
ACTR3BP3					ENSG00000260327
ACTR3BP4					ENSG00000249283
ACTR3BP5					ENSG00000227264
ACTR3BP6					ENSG00000226444
ACTR3C		ARP11			ENSG00000106526
ACTR3P1					
ACTR3P2					ENSG00000232267
ACTR3P3					ENSG00000242573
ACTR5		FLJ12785, Arp5, INO80M	NM_024855	"INO80 complex subunits"	ENSG00000101442
ACTR6		ARP6, FLJ13433	NM_022496		ENSG00000075089
ACTR8		INO80N	NM_022899	"INO80 complex subunits"	ENSG00000113812
ACTR10		HARP11, ACTR11, Arp11			ENSG00000131966
ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1	NM_138289		ENSG00000123165
ACTRT2		Arp-T2, ARPM2, FLJ25424	NM_080431		ENSG00000169717
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A	NM_001105		ENSG00000115170
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	NM_020328		ENSG00000135503
ACVR1C		ALK7, ACVRLK7	NM_145259		ENSG00000123612
ACVR2A	ACVR2	ACTRII	NM_001616		ENSG00000121989
ACVR2B		ActR-IIB	NM_001106		ENSG00000114739
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT			ENSG00000139567
ACVRLK2~withdrawn					
ACY1			NM_000666		ENSG00000243989
ACY1L~withdrawn					
ACY3		HCBP1, MGC9740, ACY-3	NM_080658		ENSG00000132744
ACYP1					ENSG00000119640
ACYP2					ENSG00000170634
AD1~withdrawn					
AD2~withdrawn					
AD3~withdrawn					
AD4~withdrawn					
AD5					
ADA			NM_000022		ENSG00000196839
ADAD1		Tenr	NM_139243		ENSG00000164113
ADAD2		TENRL, FLJ00337	NM_139174		ENSG00000140955
ADAL			XM_091156		ENSG00000168803
ADAM1		FTNAP, PH-30a, Ftna, ADAM1P	NG_001216	"ADAM metallopeptidase domain containing"	ENSG00000229186
ADAM2	FTNB	PH-30b, PH30, CT15	NM_001464	"ADAM metallopeptidase domain containing"	ENSG00000104755
ADAM3A	CYRN1	ADAM3, tMDCI	NR_001569	"ADAM metallopeptidase domain containing"	ENSG00000197475
ADAM3B	CYRN2		NG_001526	"ADAM metallopeptidase domain containing"	ENSG00000260089
ADAM5P		tMDCII, ADAM5	NR_001448	"ADAM metallopeptidase domain containing"	ENSG00000196115
ADAM6	C14orf96	tMDCIV	NR_002224	"ADAM metallopeptidase domain containing"	ENSG00000233988
ADAM7		GP-83, EAPI	NM_003817	"ADAM metallopeptidase domain containing"	ENSG00000069206
ADAM8		CD156, MS2		"ADAM metallopeptidase domain containing", "CD molecules"	ENSG00000151651
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng		"ADAM metallopeptidase domain containing"	ENSG00000168615
ADAM10		kuz, MADM, HsT18717, CD156c	NM_001110	"ADAM metallopeptidase domain containing", "CD molecules"	ENSG00000137845
ADAM11	MDC		NM_002390	"ADAM metallopeptidase domain containing"	ENSG00000073670
ADAM12		MCMPMltna, MLTN		"ADAM metallopeptidase domain containing"	ENSG00000148848
ADAM15		MDC15	NM_003815	"ADAM metallopeptidase domain containing"	ENSG00000143537
ADAM17	TACE	cSVP, CD156B		"ADAM metallopeptidase domain containing", "CD molecules"	ENSG00000151694
ADAM18		tMDCIII, ADAM27	NM_014237	"ADAM metallopeptidase domain containing"	ENSG00000168619
ADAM19		MLTNB	NM_033274	"ADAM metallopeptidase domain containing"	ENSG00000135074
ADAM20				"ADAM metallopeptidase domain containing"	ENSG00000134007
ADAM21		ADAM31		"ADAM metallopeptidase domain containing"	ENSG00000139985
ADAM21P1	ADAM21P		NG_002467		ENSG00000235812
ADAM22		MDC2	NM_021723	"ADAM metallopeptidase domain containing"	ENSG00000008277
ADAM23		MDC3	NM_003812	"ADAM metallopeptidase domain containing"	ENSG00000114948
ADAM24P				"ADAM metallopeptidase domain containing"	ENSG00000214607
ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	NM_021778	"ADAM metallopeptidase domain containing"	ENSG00000042980
ADAM29		svph1, CT73		"ADAM metallopeptidase domain containing"	ENSG00000168594
ADAM30		svph4	NM_021794	"ADAM metallopeptidase domain containing"	ENSG00000134249
ADAM32			NM_145004	"ADAM metallopeptidase domain containing"	ENSG00000197140
ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1	NM_025220	"ADAM metallopeptidase domain containing"	ENSG00000149451
ADAMDEC1		M12.219	NM_014479		ENSG00000134028
ADAMTS1		C3-C5, METH1, KIAA1346		"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000154734
ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	NM_014244	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000087116
ADAMTS3		KIAA0366, ADAMTS-4		"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000156140
ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1	NM_005099	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000158859
ADAMTS5		ADMP-2, ADAMTS11		"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000154736
ADAMTS6		ADAM-TS6	NM_197941	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000049192
ADAMTS7		ADAM-TS7, DKFZp434H204	NM_014272	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000136378
ADAMTS8		METH2, FLJ41712, ADAM-TS8	NM_007037	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000134917
ADAMTS9		KIAA1312		"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000163638
ADAMTS9-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000241158
ADAMTS9-AS2				"ncRNAs / Long non-coding RNAs"	ENSG00000241684
ADAMTS10		ADAM-TS10	NM_030957	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000142303
ADAMTS12			NM_030955	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000151388
ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	NM_139025	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000160323
ADAMTS14			NM_080722	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000138316
ADAMTS15			NM_139055	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000166106
ADAMTS16		ADAMTS16s	NM_139056	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000145536
ADAMTS17		FLJ32769, FLJ16363	NM_139057	"ADAM metallopeptidases with thrombospondin type 1 motif"	ENSG00000140470
