Approved Symbol	RefSeq IDs
ACACA	NM_198836
ACACB	NM_001093
ACAD8	NM_014384
ACAD9	NM_014049
ACAD10	NM_025247
ACAD11	NM_032169
ACADL	NM_001608
ACADS	NM_000017
ACADSB	NM_001609
ACADVL	NM_000018
ACAN	NM_001135
ACAP1	NM_014716
ACAP2	NM_012287
ACAP3	NM_030649
ACAT1	NM_000019
ACAT2	NM_005891
ACBD3	NM_022735
ACBD4	NM_024722
ACBD5	NM_145698
ACBD6	NM_032360
ACCS	NM_032592
ACCSL	NM_001031854
ACD	NM_022914
ACER1	NM_133492
ACER2	XM_294540
ACER3	NM_018367
ACHE	NM_015831
ACIN1	NM_014977
ACLY	NM_001096
ACN9	NM_020186
ACO1	NM_002197
ACO2	NM_001098
ACOT1	NM_001037161
ACOT2	NM_006821
ACOT4	NM_152331
ACOT6	NM_001037162
ACOT7	NM_007274
ACOT8	NM_183386
ACOT9	NM_012332
ACOT11	NM_015547
ACOT12	NM_130767
ACOT13	NM_018473
ACOXL	NM_018308
ACP2	NM_001610
ACP6	NM_016361
ACPL2	NM_152282
ACPP	NM_001099
ACPT	NM_033068
ACR	NM_001097
ACRBP	NM_032489
ACRV1	NM_001612
ACSBG1	NM_015162
ACSBG2	NM_030924
ACSF2	NM_025149
ACSF3	NM_174917
ACSL1	NM_001995
ACSL3	NM_004457
ACSL4	NM_004458
ACSL5	NM_016234
ACSL6	NM_015256
ACSM1	NM_052956
ACSM2A	NM_001010845
ACSM2B	NM_182617
ACSM3	NM_005622
ACSM4	NM_001080454
ACSM5	NM_017888
ACSS1	NM_032501
ACSS2	NM_018677
ACSS3	NM_024560
ACTA1	NM_001100
ACTA2	NM_001613
ACTB	NM_001101
ACTBL2	NM_001017992
ACTBP1	NG_022596
ACTBP2	NG_003019
ACTBP6	NG_008793
ACTBP8	NG_000840
ACTBP9	NG_003162
ACTBP12	NG_026958
ACTC1	NM_005159
ACTG1	NM_001614
ACTG1P1	NG_001068
ACTG1P2	NG_004636
ACTG1P3	NG_000842
ACTG1P9	NG_001069
ACTG1P10	NG_003039
ACTG1P11	NG_004636
ACTG2	NM_001615
ACTL6A	NM_004301
ACTL6B	NM_016188
ACTL7A	NM_006687
ACTL7B	NM_006686
ACTL8	NM_030812
ACTL9	NM_178525
ACTN1	NM_001102
ACTN2	NM_001103
ACTN3	NM_001104
ACTR1B	NM_005735
ACTR2	NM_001005386
ACTR3	NM_005721
ACTR3B	NM_020445
ACTR3BP1	NG_005799
ACTR5	NM_024855
ACTR6	NM_022496
ACTR8	NM_022899
ACTRT1	NM_138289
ACTRT2	NM_080431
ACVR1	NM_001105
ACVR1B	NM_020328
ACVR1C	NM_145259
ACVR2A	NM_001616
ACVR2B	NM_001106
ACY1	NM_000666
ACY3	NM_080658
ADA	NM_000022
ADAD1	NM_139243
ADAD2	NM_139174
ADAL	XM_091156
ADAM1	NG_001216
ADAM2	NM_001464
ADAM3A	NR_001569
ADAM3B	NG_001526
ADAM5P	NR_001448
ADAM6	NR_002224
ADAM7	NM_003817
ADAM10	NM_001110
ADAM11	NM_002390
ADAM15	NM_003815
ADAM18	NM_014237
ADAM19	NM_033274
ADAM21P1	NG_002467
ADAM22	NM_021723
ADAM23	NM_003812
ADAM28	NM_021778
ADAM30	NM_021794
ADAM32	NM_145004
ADAM33	NM_025220
ADAMDEC1	NM_014479
ADAMTS2	NM_014244
ADAMTS4	NM_005099
ADAMTS6	NM_197941
ADAMTS7	NM_014272
ADAMTS8	NM_007037
ADAMTS10	NM_030957
ADAMTS12	NM_030955
ADAMTS13	NM_139025
ADAMTS14	NM_080722
ADAMTS15	NM_139055
ADAMTS16	NM_139056
ADAMTS17	NM_139057
ADAMTS19	NM_133638
ADAMTS20	NM_025003
ADAMTSL2	NM_014694
ADAMTSL3	NM_207517
ADAMTSL4	NM_019032
ADAMTSL5	XM_294919
ADAP1	NM_006869
ADAP2	NM_018404
ADAR	NM_001111
ADARB1	NM_015833
ADARB2	NM_018702
ADAT1	NM_012091
ADAT2	XM_059727
ADAT3	NM_138422
ADCK1	NM_020421
ADCK2	NM_052853
ADCK3	NM_020247
ADCK4	NM_024876
ADCK5	NM_174922
ADCY1	NM_021116
ADCY2	NM_020546
ADCY5	XM_171048
ADCY6	NM_020983
ADCY10	NM_018417
ADCYAP1	NM_001117
ADCYAP1R1	NM_001118
ADD1	NM_014189
ADD2	NM_001617
ADD3	NM_019903
ADGB	NM_024694
ADH1A	NM_000667
ADH1B	NM_000668
ADH1C	NM_000669
ADH4	NM_000670
ADH5	NM_000671
ADH5P4	XM_208352
ADH6	NM_000672
ADH7	NM_000673
ADHFE1	NM_144650
ADI1	NM_018269
ADIG	NM_001018082
ADIPOQ	NM_004797
ADIPOR1	NM_015999
ADIPOR2	NM_024551
ADK	NM_001123, NM_006721
ADM	NM_001124
ADM2	NM_024866
ADNP	NM_181442
ADNP2	NM_014913
ADO	NM_032804
ADORA1	NM_000674
ADORA2A	NM_000675
ADORA2BP1	NG_000843
ADORA3	NM_000677, NM_020683
ADPGK	NM_031284
ADPRH	NM_001125
ADPRHL1	NM_138430
ADPRHL2	NM_017825
ADRA1A	NM_033303
ADRA1D	NM_000678
ADRA2A	NM_000681
ADRA2C	NM_000683
ADRB2	NM_000024
ADRB3	NM_000025
ADRBK1	NM_001619
ADRBK2	NM_005160
ADSL	NM_000026
ADSS	NM_001126
ADTRP	NM_032744
AEBP1	NM_001129
AEBP2	NM_153207
AEN	NM_022767
AES	NM_198969
AFAP1	NM_021638
AFAP1-AS1	NM_032654
AFAP1L1	NM_152406
AFAP1L2	NM_032550
AFF1	NM_005935
AFF2	NM_002025
AFF3	NM_002285
AFF4	NM_014423
AFG3L1P	NR_003226
AFG3L2	NM_006796
AFMID	XM_058889
AFTPH	NM_017657
AGA	NM_000027
AGAP1	NM_014914
AGAP2	NM_014770
AGAP3	NM_031946
AGAP4	NM_133446
AGAP5	XM_001132585
AGAP6	NM_001077665
AGAP7	NM_001077685
AGAP8	NM_001077686
AGAP9	XM_001716810.2
AGAP10	XM_001714786.2
AGAP11	NM_133447
AGBL1	NM_152336
AGBL2	NM_024783
AGBL3	NM_178563
AGBL4	NM_032785
AGBL5	NM_021831
AGER	NM_001136
AGFG1	NM_004504
AGFG2	NM_006076
AGGF1	NM_018046
AGGF1P2	NG_005569
AGK	NM_018238
AGKP1	NG_002810
AGL	NM_000028
AGMAT	NM_024758
AGPAT2	NM_006412
AGPAT4	NM_020133
AGPAT4-IT1	NR_024277
AGPAT5	NM_018361
AGPAT6	NM_178819
AGPAT9	NM_032717
AGPHD1	NM_001013619
AGR2	NM_006408
AGR3	NM_176813
AGRN	NM_198576
AGT	NM_000029
AGTPBP1	NM_015239
AGTR2	NM_000686
AGTRAP	NM_020350
AGXT	NM_000030
AGXT2	NM_031900
AGXT2L1	NM_031279
AGXT2L2	NM_032921
AHCTF1	NM_015446
AHCTF1P1	NG_002622
AHCY	NM_000687
AHI1	NM_017651
AHNAK	NM_024060
AHNAK2	NM_138420
AHR	NM_001621
AHRR	NM_020731
AHSA1	NM_012111
AHSA2	NM_152392
AHSG	NM_001622
AHSP	NM_016633
AICDA	NM_020661
AIDA	NM_022831
AIF1L	NM_031426
AIFM2	NM_032797
AIFM3	NM_144704
AIG1	NM_016108
AIM1L	NM_001039775.2
AIM2	NM_004833
AIMP1	NM_004757
AIMP2	NM_006303
AIPL1	NM_014336
AJAP1	NM_018836
AK2	NM_001625
AK2P1	NG_002393
AK2P2	NG_009660
AK3	NM_016282
AK3P3	NG_026542
AK4	NM_013410
AK4P1	NG_001070
AK4P3	NG_007564
AK4P4	NG_021605
AK4P6	NG_022085
AK5	NM_174858
AK8	NM_152572
AKAP2	NM_001004065
AKAP3	NM_006422
AKAP4	NM_003886
AKAP6	NM_004274
AKAP8	NM_005858
AKAP8L	NM_014371
AKAP9	NM_005751
AKAP10	NM_007202
AKAP11	NM_016248
AKAP13	NM_007200
AKAP14	NM_178813
AKAP16BP	NG_022632
AKAP17A	NM_005088
AKD1	NM_001145128
AKIP1	NM_020642
AKIRIN1	NM_024595
AKIRIN2	NM_018064
AKIRIN2-AS1	NR_002767
AKNA	NM_030767
AKNAD1	NM_152763
AKR1A1	NM_006066
AKR1B1	NM_001628
AKR1B1P1	NG_006432
AKR1B1P3	NG_007132
AKR1B1P4	NG_006989
AKR1B1P5	NG_007013
AKR1B1P7	NG_009664
AKR1B1P8	NG_009682
AKR1B10	NM_020299
AKR1C3	NM_003739
AKR1C4	NM_001818
AKR1CL1	XM_291723
AKR1D1	NM_005989
AKR1D1P1	NG_002683
AKR1E2	NM_031436
AKR7A2	NM_003689
AKR7A3	NM_012067
AKR7L	NM_201252
AKT1	NM_005163
AKT1S1	NM_032375
AKT2	NM_001626
AKT3	NM_181690
AKTIP	NM_022476
ALAD	NM_001003945
ALAS2	NM_000032
ALB	NM_000477
ALCAM	NM_001627
ALDH1L1	NM_012190
ALDH1L2	XM_090294
ALDH2	NM_000690
ALDH3A1	NM_000691
ALDH3B1	NM_000694
ALDH3B2	NM_000695
ALDH7A1	NM_001182
ALDH16A1	NM_153329
ALDH18A1	NM_002860
ALDOA	NM_000034
ALG1L	NM_001015050
ALG1L2	NM_001136152
ALG2	NM_033087
ALG3	NM_005787
ALG5	NM_013338
ALG6	NM_013339
ALG8	NM_024079
ALG9	NM_024740
ALG10	NM_032834
ALG11	NM_001004127
ALG12	NM_024105
ALG13	NM_018466
ALG14	NM_144988
ALK	NM_004304
ALKBH1	NM_006020
ALKBH2	NM_001001655
ALKBH3	NM_139178
ALKBH4	NM_017621
ALKBH5	NM_017758
ALKBH6	NM_032878
ALKBH7	NM_032306
ALKBH8	NM_138775
ALMS1	NM_015120
ALMS1P	NR_003683
ALOX5AP	NM_001629
ALOX15P1	NG_009476
ALPI	NM_001631
ALPK1	NM_025144
ALPK2	NM_052947
ALPK3	NM_020778
ALPL	NM_000478
ALPP	NM_001632
ALPPL2	NM_031313
ALS2	NM_020919
ALS2CL	NM_147129
ALS2CR8	NM_001104586
ALS2CR11	NM_152525
ALS2CR12	NM_139163
ALX1	NM_006982
ALX3	NM_006492
ALYREF	NM_005782
AMACR	NM_014324
AMBN	NM_016519
AMBP	NM_001633
AMBRA1	NM_017749
AMDHD1	NM_152435
AMDHD2	NM_015944
AMDP1	NG_001073
AMELX	NM_001142
AMELY	NM_001143
AMH	NM_000479
AMHR2	NM_020547
AMICA1	NM_153206
AMIGO1	NM_020703
AMIGO2	NM_181847
AMIGO3	NM_198722
AMMECR1L	NM_031445
AMN1	NR_004854
AMOT	NM_133265
AMOTL1	NM_130847
AMOTL2	NM_016201
AMPD3	NM_000480
AMPH	NM_001635
AMT	NM_000481
AMTN	NM_212557
AMY1A	NM_001008221
AMY1B	NM_001008218
AMY1C	NM_001008219
AMY2A	NM_000699
AMY2B	NM_020978
AMYP1	NG_004750
AMZ1	NM_133463
AMZ2	NM_016627
AMZ2P1	NM_153032
ANAPC1	NM_022662
ANAPC2	NM_013366
ANAPC4	NM_013367
ANAPC7	NM_016238
ANAPC10	NM_014885
ANAPC10P1	NG_007660
ANAPC11	NM_016476
ANAPC13	NM_015391
ANAPC16	NM_173473
ANG	NM_001097577
ANGEL1	NM_015305
ANGEL2	NM_144567
ANGPT1	NM_001146, NM_139290
ANGPT2	NM_001147
ANGPT4	NM_015985
ANGPTL1	NM_004673
ANGPTL2	NM_012098
ANGPTL3	NM_014495
ANGPTL4	NM_139314
ANGPTL5	NM_178127
ANGPTL6	NM_031917
ANGPTL7	NM_021146
ANK1	NM_020475
ANK2	NM_001148
ANK3	NM_020987
ANKAR	NM_144708
ANKDD1A	NM_182703
ANKDD1B	XM_373090
ANKFN1	NM_153228
ANKFY1	NM_016376
ANKH	NM_054027
ANKHD1	NM_017747
ANKHD1-EIF4EBP3	NM_020690
ANKK1	NM_178510
ANKLE1	NM_152363
ANKMY1	NM_017844
ANKMY2	NM_020319
ANKRA2	NM_023039
ANKRD1	NM_014391
ANKRD5	NM_022096
ANKRD7	NM_001077708
ANKRD11	NM_013275
ANKRD12	NM_015208
ANKRD13A	NM_033121
ANKRD13B	NM_152345
ANKRD13C	NM_030816
ANKRD13D	NM_207354
ANKRD16	XM_166138
ANKRD17	NM_032217
ANKRD18B	XM_001718334
ANKRD18DP	NR_003291
ANKRD19P	NR_026868
ANKRD20A2	NM_001012421
ANKRD20A4	NM_001098805
ANKRD20A6P	XM_001126719
ANKRD22	NM_144590
ANKRD23	NM_144994
ANKRD24	XM_114000
ANKRD26P1	NR_026556
ANKRD26P2	NG_006568
ANKRD27	NM_032139
ANKRD28	NM_015199
ANKRD29	NM_173505
ANKRD30A	NM_052997
ANKRD30B	NM_001145029
ANKRD30BL	NR_027019
ANKRD30BP1	NG_009612
ANKRD30BP2	NR_026916
ANKRD31	NM_001164443
ANKRD32	NM_032290
ANKRD33	NM_182608
ANKRD33B	XM_001130634
ANKRD34B	NM_001004441
ANKRD34C	NM_001146341
ANKRD35	NM_144698
ANKRD36BP1	NR_026844
ANKRD36C	NM_001010914
ANKRD37	NM_181726
ANKRD39	NM_016466
ANKRD40	NM_052855
ANKRD42	NM_182603
ANKRD44	NM_153697
ANKRD45	NM_198493
ANKRD46	NM_198401
ANKRD49	NM_017704
ANKRD50	NM_020337
ANKRD52	NM_173595
ANKRD53	NM_024933
ANKRD54	NM_138797
ANKRD54P1	NG_025432
ANKRD55	NM_024669
ANKRD62	XM_001715728
ANKRD62P1-PARP4P3	NR_040115
ANKS1A	XM_166478
ANKS1B	NM_020140
ANKS3	NM_133450
ANKS4B	NM_145865
ANKS6	NM_173551
ANKUB1	NM_001144960
ANKZF1	NM_018089
ANLN	NM_018685
ANO1	NM_018043
ANO2	NM_020373
ANO3	NM_031418
ANO4	NM_178826
ANO5	NM_213599
ANO6	XM_113743
ANO7	NM_001001891
ANO7L1	XM_002347515
ANO8	XM_050644
ANO9	NM_001012302
ANO10	NM_018075
ANP32A-IT1	NR_026808
ANP32AP1	NR_003144
ANP32B	NM_006401
ANP32C	NM_012403
ANP32D	NM_012404
ANP32E	NM_030920
ANTXR1	NM_032208
ANTXR2	NM_058172
ANTXRL	XM_113625
ANXA1	NM_000700
ANXA2	NM_001002857
ANXA2P1	NR_001562
ANXA2P3	NR_001446
ANXA2R	NM_001014279
ANXA3	NM_005139
ANXA4	NM_001153
ANXA5	NM_001154
ANXA6	NM_001155
ANXA7	NM_001156
ANXA8	NM_001040084
ANXA8L2	NM_001630
ANXA9	NM_003568
ANXA10	NM_007193
ANXA11	NM_145869
ANXA13	NM_004306
AOAH	NM_001637
AOC2	NM_009590, NM_001158
AOC3	NM_003734
AOX1	NM_001159
AOX2P	NR_001557
AP1AR	NM_018569
AP1B1	NM_001127
AP1B1P1	NG_002625
AP1B1P2	NG_002624
AP1G2	NM_003917
AP1M1	NM_032493
AP1S1	NM_001283
AP1S2	NM_003916
AP2A2	NM_012305
AP2M1	NM_004068
AP4B1	NM_006594
AP4M1	NM_004722
AP5B1	NM_138368
AP5S1	NM_018347
APAF1	NM_181861.1
APBA1	NM_001163
APBA2	NM_005503
APBB1	NM_001164
APBB1IP	NM_019043
APBB2	NM_173075
APBB3	NM_006051
APC	NM_000038
APC2	NM_005883
APCDD1	NM_153000
APCDD1L	NM_153360
APCS	NM_001639
APEX1	NM_001641
APH1A	NM_016022
APH1B	NM_031301
API5	NM_006595
API5P1	NG_009200
API5P2	NG_009199
APIP	NM_015957
APITD1	NM_199294
APITD1-CORT	NM_198544.3
APLF	NM_173545
APLN	NM_017413
APLNR	NM_005161
APLP1	NM_001024807
APLP2	NM_001642
APOA1	NM_000039
APOA1BP	NM_144772
APOA2	NM_001643
APOA4	NM_000482
APOBEC1	NM_001644
APOBEC2	NM_006789
APOBEC3A	NM_145699
APOBEC3B	NM_004900
APOBEC3C	NM_014508
APOBEC3D	NM_152426
APOBEC3F	NM_145298
APOBEC3G	NM_021822
APOBEC3H	NM_181773
APOBEC4	NM_203454
APOBR	NM_182804
APOC3	NM_000040
APOD	NM_001647
APOE	NM_000041
APOH	NM_000042
APOL1	NM_145343
APOL2	NM_145637
APOL3	NM_145641
APOL4	NM_145660
APOL5	NM_030642
APOL6	NM_030641
APOLD1	NM_030817
APOM	NM_019101
APOO	NM_024122
APOOL	NM_198450
APOPT1	NM_032374
APP	NM_000484
APPBP2	NM_006380
APPL1	NM_012096
APPL2	NM_018171
APRT	NM_000485
APTX	NM_017692
AQP1	NM_000385
AQP2	NM_000486
AQP3	NM_004925
AQP4	NM_001650, NM_004028
AQP6	NM_001652, NM_053286
AQP7	NM_001170
AQP7P1	XM_372110
AQP7P2	XM_497059
AQP7P3	NG_005142
AQP7P4	NG_021659
AQP8	NM_001169
AQP9	NM_020980
AQP10	NM_080429
AQP11	NM_173039
AQP12A	NM_198998
AQR	NM_014691
AR	NM_000044
ARAF2P	NG_008381
ARAF3P	NG_003157
ARAP1	NM_001040118
ARAP2	NM_015230
ARAP3	NM_022481
AREGB	XM_001125684
ARF1	NM_001024227
ARF1P1	XM_498225
ARF3	NM_001659
ARF4	NM_001660
ARF4P1	NG_001075
ARF4P2	NG_001031
ARF4P3	XM_372496
ARF5	NM_001662
ARF6	NM_001663
ARFGAP1	NM_018209
ARFGAP2	NM_032389
ARFGAP3	NM_014570
ARFGEF1	NM_006421
ARFGEF2	NM_006420
ARFIP1	NM_014447
ARFIP2	NM_012402
ARG2	NM_001172
ARGFX	NM_001012659
ARGFXP1	NG_004853
ARGFXP2	NR_002222
ARGLU1	NM_018011
ARHGAP1	NM_004308
ARHGAP4	NM_001666
ARHGAP5	NM_001030055
ARHGAP5-AS1	NR_027263
ARHGAP6	NM_013427
ARHGAP8	NM_017701
ARHGAP9	NM_032496
ARHGAP10	NM_024605
ARHGAP11A	NM_014783
ARHGAP11B	NM_001039841
ARHGAP15	NM_018460
ARHGAP16P	NG_002492
ARHGAP17	NM_018054
ARHGAP18	NM_033515
ARHGAP19	NM_032900
ARHGAP20	NM_020809
ARHGAP21	NM_020824
ARHGAP22	NM_021226
ARHGAP23	XM_290799
ARHGAP24	NM_031305
ARHGAP25	NM_014882
ARHGAP26	NM_015071
ARHGAP27	NM_199282
ARHGAP28	XM_371108
ARHGAP29	NM_004815
ARHGAP30	NM_181720
ARHGAP32	NM_014715
ARHGAP33	NM_052948
ARHGAP35	NM_004491
ARHGAP36	NM_144967
ARHGAP40	XM_293123
ARHGAP44	NM_014859
ARHGDIA	NM_004309
ARHGDIB	NM_001175
ARHGEF2	NM_004723
ARHGEF3	NM_019555
ARHGEF5	NM_005435
ARHGEF6	NM_004840
ARHGEF7	NM_001113511
ARHGEF10L	NM_018125
ARHGEF11	NM_198236
ARHGEF12	NM_015313
ARHGEF15	NM_173728
ARHGEF16	NM_014448
ARHGEF17	NM_014786
ARHGEF18	NM_015318
ARHGEF19	NM_153213
ARHGEF25	NM_133483
ARHGEF26	NM_015595
ARHGEF35	NM_001003702
ARHGEF37	NM_001001669
ARHGEF38	NM_017700
ARID1A	NM_139135
ARID1B	NM_020732
ARID2	XM_350875
ARID3A	NM_005224
ARID3B	NM_006465
ARID3C	XM_071061
ARID4A	NM_023001
ARID4B	NM_016374
ARID5A	XM_049068
ARID5B	XM_084482
ARIH1	NM_005744
ARIH2	NM_006321
ARIH2P1	XR_016965
ARL1	NM_001177
ARL2	NM_001667
ARL2BP	NM_012106
ARL2BPP3	NG_022943
ARL2BPP9	NG_026204
ARL3	NM_004311
ARL4A	NM_005738
ARL4D	NM_001661
ARL4P	XM_370560
ARL4P2	NG_005394
ARL5B	NM_178815
ARL5C	NM_001143968
ARL6	NM_032146
ARL6IP1	NM_015161
ARL6IP4	NM_018694
ARL6IP5	NM_006407
ARL6IP6	NM_152522
ARL8A	NM_138795
ARL8B	NM_018184
ARL9	NM_206919
ARL10	NM_173664
ARL11	NM_138450
ARL13A	XM_373358
ARL13B	NM_182896
ARL14	NM_025047
ARL15	NM_019087
ARL16	XM_290777
ARL17A	NM_016632
ARL17B	NM_001039083
ARMC1	NM_018120
ARMC2	NM_032131
ARMC3	NM_173081
ARMC4	NM_018076
ARMC5	NM_024742
ARMC6	NM_033415
ARMC7	NM_024585
ARMC8	NM_015396
ARMC9	NM_025139
ARMC10	NM_031905
ARMC10P1	NG_012229
ARMC12	NM_145028
ARMCX1	NM_016608
ARMCX2	NM_014782
ARMCX3	NM_016607
ARMCX4	NR_028407
ARMCX5	NM_022838
ARMCX5-GPRASP2	NM_001199818.1
ARMCX6	NM_019007
ARNTL	NM_001178
ARNTL2	NM_020183
ARPC1A	NM_006409
ARPC1B	NM_005720
ARPC2	NM_005731
ARPC3P1	NG_002363
ARPC3P2	NG_022826
ARPC3P4	NG_024384
ARPC3P5	NG_022345
ARPC4	NM_001024959
ARPC4-TTLL3	NM_001198793.1
ARPC5	NM_005717
ARPC5L	NM_030978
ARPP19	NM_006628
ARPP21	NM_198399
ARR3	NM_004312
ARRB1	NM_004041
ARRB2	NM_004313
ARRDC1	NM_152285
ARRDC2	NM_015683
ARRDC3	NM_020801
ARRDC4	NM_183376
ARRDC5	XM_292803
ARSA	NM_000487
ARSB	NM_000046
ARSDP1	NG_000881.2
ARSE	NM_000047
ARSEP1	NG_000880
ARSFP1	NG_002804
ARSG	NM_014960
ARSH	NM_001011719
ARSI	NM_001012301
ARSJ	NM_024590
ARSK	NM_198150
ART1	NM_004314
ART2P	NG_001076
ART3	NM_001179
ART4	NM_021071
ART5	NM_053017
ARTN	NM_057090
ARV1	NM_022786
ARVCF	NM_001670
AS3MT	NM_020682
ASAH1	NM_004315
ASAH2	NM_019893
ASAP1	NM_018482
ASAP1-IT1	NR_002765
ASAP2	NM_003887
ASAP3	NM_017707
ASB1	NM_001040445
ASB3	NM_016115
ASB4	NM_016116
ASB6	NM_017873
ASB7	NM_024708
ASB9P1	NR_033769
ASB10	NM_080871
ASB17	NM_080868
ASB18	NM_212556
ASCC1	NM_015947
ASCC2	NM_032204
ASCC3	NM_006828
ASCL2	NM_005170
ASCL4	NM_203436
ASCL5	XM_001719321.2
ASF1A	NM_014034
ASF1B	NM_018154
ASGR1	NM_001671
ASGR2	NM_080914
ASH1L	NM_018489
ASH2L	NM_004674
ASIC1	NM_020039
ASIC2	NM_183377, NM_001094
ASIC3	NM_004769
ASIC4	NM_018674
ASL	NM_000048
ASLP1	NG_002637
ASMT	NM_004043
ASMTL	NM_004192
ASMTL-AS1	XR_040863
ASNA1	NM_004317
ASNS	NM_001673, NM_183356
ASNSD1	NM_019048
ASNSP3	NG_021205
ASNSP4	NG_026098
ASPA	NM_000049
ASPDH	NM_001024656
ASPG	NM_001080464
ASPH	NM_004318
ASPHD1	NM_181718
ASPHD2	NM_020437
ASPM	NM_018136
ASPN	NM_017680
ASPRV1	NM_152792
ASPSCR1	NM_024083
ASRGL1	NM_001083926
ASS1	NM_000050
ASS1P1	NG_001077
ASS1P2	NG_000845
ASS1P3	NG_012998
ASS1P4	NG_000846
ASS1P5	NG_000847
ASS1P6	NG_000848
ASS1P7	NG_001079
ASS1P8	NG_003009
ASS1P9	NG_003022
ASS1P10	NG_003021
ASS1P11	NG_008639
ASS1P12	NG_005207
ASS1P13	NG_011669
ASTE1	NM_014065
ASTN1	NM_004319
ASTN2	NM_014010
ASUN	NM_018164
ASXL1	NM_015338
ASXL2	NM_018263
ASZ1	NM_130768
ATAD1	NM_032810
ATAD2	NM_014109
ATAD2B	NM_017552
ATAD3A	NM_018188
ATAD3B	NM_031921
ATAD3C	NM_001039211
ATAD5	NM_024857
ATAT1	NM_024909
ATE1	NM_001001976
ATF1	NM_005171
ATF1P1	NG_016455
ATF2	NM_001880
ATF3	NM_001674
ATF4	NM_001675
ATF4P1	NG_001080
ATF4P2	NG_002951
ATF4P3	NG_009319
ATF4P4	NG_021835
ATF6	NM_007348
ATF7	NM_001130059
ATF7IP	NM_018179
ATF7IP2	NM_024997
ATG3	NM_022488
ATG4A	NM_052936
ATG4B	NM_013325
ATG4C	NM_032852
ATG4D	NM_032885
ATG7	NM_006395
ATG9A	NM_024085
ATG9B	NM_173681
ATG12	NM_004707
ATG12P2	NG_016651
ATG13	NM_014741
ATG14	NM_014924
ATG16L1	NM_017974
ATG16L2	NM_033388
ATHL1	NM_025092
ATIC	NM_004044
ATL2	NM_022374
ATL3	NM_015459
ATM	NM_000051
ATMIN	NM_015251
ATN1	NM_001940
ATOH1	NM_005172
ATOH8	NM_032827
ATOX1	NM_004045
ATP1A1OS	NM_032766
ATP1A2	NM_000702
ATP1A3	NM_152296
ATP1A4	NM_144699
ATP1B1P1	NG_001081
ATP1B2	NM_001678
ATP1B3	NM_001679
ATP1B3P1	NG_000849
ATP1B4	NM_001142447
ATP2A1	NM_004320
ATP2A2	NM_001681
ATP2A3	NM_174953
ATP2B1	NM_001682
ATP2B2	NM_001683
ATP2B3	NM_021949
ATP2B4	NM_001001396
ATP2C1	NM_001001486
ATP2C2	NM_014861
ATP4A	NM_000704
ATP4B	NM_000705
ATP5A1	NM_004046
ATP5A1P2	NG_008671
ATP5A1P3	NG_008672
ATP5A1P4	NG_022842
ATP5B	NM_001686
ATP5C1	NM_005174
ATP5C1P1	NG_004656
ATP5D	NM_001687
ATP5E	NM_001001977
ATP5EP2	NR_002162
ATP5F1	NM_001688
