gene	variants	fams	biotype	description	omim_hit
ANKRD35	1	MGP43			
ANKRD36	1	MGP43			
ANKRD53	1	MGP44			
ANO1	4	MGP43	protein_coding	anoctamin 1, calcium activated chloride channel [Source:HGNC Symbol;Acc:21625]	 ANOCTAMIN 1, CALCIUM-ACTIVATED CHLORIDE CHANNEL; ANO1
ANO7	1	MGP43			 ANOCTAMIN 7; ANO7
ANTXRL	1	MGP43			
ANXA2P2	1	MGP44			
AP2A2	1	MGP43			 ADAPTOR-RELATED PROTEIN COMPLEX 2, ALPHA-2 SUBUNIT; AP2A2
AP3S2	1	MGP43			 ADAPTOR-RELATED PROTEIN COMPLEX 3, SIGMA-2 SUBUNIT; AP3S2
APBB2	1	MGP43			 AMYLOID BETA A4 PRECURSOR PROTEIN-BINDING, FAMILY B, MEMBER 2; APBB2
APOB	1	MGP44			 APOLIPOPROTEIN B; APOB
AQP12B	1	MGP43			
ART3	2	MGP43			 ADP-RIBOSYLTRANSFERASE 3; ART3
ASAH2B	1	MGP43			 N-ACYLSPHINGOSINE AMIDOHYDROLASE 2C; ASAH2C
ASAP3	1	MGP43			
ASB16	1	MGP43			
ASF1A	1	MGP41	protein_coding	ASF1 anti-silencing function 1 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:20995]	 ANTI-SILENCING FUNCTION 1, S. CEREVISIAE, HOMOLOG OF, A; ASF1A
ASMTL-AS1	1	MGP44	processed_transcript	ASMTL antisense RNA 1 (non-protein coding) [Source:HGNC Symbol;Acc:25811]	
ASPM	1	MGP43			 ABNORMAL SPINDLE-LIKE, MICROCEPHALY-ASSOCIATED; ASPM
ASTL	1	MGP43			 ASTACIN-LIKE METALLOENDOPEPTIDASE; ASTL
ASXL1	1	MGP43	protein_coding	additional sex combs like 1 (Drosophila) [Source:HGNC Symbol;Acc:18318]	 ADDITIONAL SEX COMBS-LIKE 1; ASXL1
ATAD3C	1	MGP43	protein_coding	ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:32151]	
ATMIN	1	MGP44			
ATP11B	1	MGP43			 ATPase, CLASS VI, TYPE 11B; ATP11B
ATP5B	1	MGP43	protein_coding	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide [Source:HGNC Symbol;Acc:830]	 ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, BETA SUBUNIT;
ATP5SL	1	MGP43			
ATP6V1G2-DDX39B	1	MGP43			
ATP8A1	1	MGP43	protein_coding	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Source:HGNC Symbol;Acc:13531]	 ATPase, CLASS I, TYPE 8A, MEMBER 1; ATP8A1
B4GALT6	1	MGP43			 UDP-GAL:BETA-GlcNAc BETA-1,4-GALACTOSYLTRANSFERASE, POLYPEPTIDE 6;
BACH1	1	MGP43	protein_coding	BTB and CNC homology 1, basic leucine zipper transcription factor 1 [Source:HGNC Symbol;Acc:935]	 BTB AND CNC HOMOLOGY 1; BACH1
BBS12	1	MGP43	protein_coding	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:26648]	 BBS12 GENE; BBS12
BCAS1	1	MGP43			 BREAST CARCINOMA AMPLIFIED SEQUENCE 1; BCAS1
BCKDHA	1	MGP44			 BRANCHED-CHAIN KETO ACID DEHYDROGENASE E1, ALPHA POLYPEPTIDE; BCKDHA
BPIL1	1	MGP43			
BRCA1	2	MGP43	protein_coding	breast cancer 1, early onset [Source:HGNC Symbol;Acc:1100]	 BREAST CANCER 1 GENE; BRCA1
BRI3BP	1	MGP43			
BZRAP1	2	MGP43			 BENZODIAZAPINE RECEPTOR (PERIPHERAL)-ASSOCIATED PROTEIN 1; BZRAP1
C10orf128	1	MGP43			
C10orf58	2	MGP43			
C11orf21	1	MGP43	protein_coding	chromosome 11 open reading frame 21 [Source:HGNC Symbol;Acc:13231]	 CHROMOSOME 11 OPEN READING FRAME 21; C11ORF21
C12orf5	1	MGP41			 TP53-INDUCED GLYCOLYSIS AND APOPTOSIS REGULATOR
C14orf102	1	MGP43	protein_coding	chromosome 14 open reading frame 102 [Source:HGNC Symbol;Acc:20186]	
C14orf80	1	MGP43			
C15orf2	2	MGP43			 CHROMOSOME 15 OPEN READING FRAME 2; C15ORF2
C15orf51	3	MGP43			
C15orf56	1	MGP43	protein_coding	chromosome 15 open reading frame 56 [Source:HGNC Symbol;Acc:33868]	
C16orf55	1	MGP44	protein_coding	chromosome 16 open reading frame 55 [Source:HGNC Symbol;Acc:26463]	
C16orf61	1	MGP44			
C16orf71	1	MGP43			
C17orf62	1	MGP43			
C17orf80	1	MGP43	protein_coding	chromosome 17 open reading frame 80 [Source:HGNC Symbol;Acc:29601]	
C1orf126	4	MGP43			
C1orf94	1	MGP43	protein_coding	chromosome 1 open reading frame 94 [Source:HGNC Symbol;Acc:28250]	
C1RL	1	MGP43	protein_coding	complement component 1, r subcomponent-like [Source:HGNC Symbol;Acc:21265]	 COMPLEMENT COMPONENT C1r-LIKE PROTEIN; C1RL
C20orf12	1	MGP43	protein_coding	chromosome 20 open reading frame 12 [Source:HGNC Symbol;Acc:15858]	
C20orf79	1	MGP43	protein_coding	chromosome 20 open reading frame 79 [Source:HGNC Symbol;Acc:16211]	
C2orf3	1	MGP43			 TRANSCRIPTION FACTOR 9; TCF9
C2orf46	1	MGP43			
C2orf70	1	MGP43	protein_coding	chromosome 2 open reading frame 70 [Source:HGNC Symbol;Acc:27938]	
C3orf70	1	MGP43			
C4orf42	1	MGP43			
C5orf51	1	MGP43			
C5orf62	1	MGP43			 NGF-INDUCED DIFFERENTIATION CLONE 67
C6	1	MGP44	LRG_gene	complement component 6 [Source:HGNC Symbol;Acc:1339]	c(" COMPLEMENT COMPONENT 6; C6", " COMPLEMENT COMPONENT 6; C6")
C6orf221	1	MGP43			 CHROMOSOME 6 OPEN READING FRAME 221; C6ORF221
C7	1	MGP44	LRG_gene	complement component 7 [Source:HGNC Symbol;Acc:1346]	c(" COMPLEMENT COMPONENT 7; C7", " COMPLEMENT COMPONENT 7; C7")
C7orf49	1	MGP43	protein_coding	chromosome 7 open reading frame 49 [Source:HGNC Symbol;Acc:22432]	
C8orf45	1	MGP43			
C8orf73	1	MGP43			
C9orf123	1	MGP43			
C9orf139	1	MGP44	protein_coding	chromosome 9 open reading frame 139 [Source:HGNC Symbol;Acc:31426]	
C9orf150	1	MGP43			
C9orf169	1	MGP43			
C9orf174	1	MGP43	protein_coding	chromosome 9 open reading frame 174 [Source:HGNC Symbol;Acc:29303]	
C9orf50	1	MGP43			
C9orf68	3	MGP43			
C9orf79	2	MGP43			
CA14;CA14	1	MGP43			
CABLES2	1	MGP43	protein_coding	Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:16143]	
CACNA1F	1	MGP44			 CALCIUM CHANNEL, VOLTAGE-DEPENDENT, ALPHA-1F SUBUNIT; CACNA1F
CALCR;CALCR	1	MGP43			
CAPG	1	MGP43			 CAPPING PROTEIN, GELSOLIN-LIKE; CAPG
CCDC114	1	MGP43			
CCDC158	1	MGP43			
CCDC27	1	MGP43			
CCDC39	1	MGP43	protein_coding	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:25244]	 COILED-COIL DOMAIN-CONTAINING PROTEIN 39; CCDC39
CCDC41	1	MGP44			
CCDC48;CCDC48	1	MGP43			
CCDC57	1	MGP43			
CCDC60	1	MGP43			
CCHCR1	1	MGP43	protein_coding	coiled-coil alpha-helical rod protein 1 [Source:HGNC Symbol;Acc:13930]	c(" COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1", " COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1", " COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1", " COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1", " COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1", " COILED-COIL ALPHA-HELICAL ROD PROTEIN 1; CCHCR1")
CCL25	1	MGP43			 CHEMOKINE, CC MOTIF, LIGAND 25; CCL25
CCM2	1	MGP43			 CCM2 GENE; CCM2
CCR9	1	MGP43			 CHEMOKINE, CC MOTIF, RECEPTOR 9; CCR9
CCT6P3	1	MGP43			
CCZ1	1	MGP43	protein_coding	CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:21691]	
CD209	1	MGP43			 CD209 ANTIGEN; CD209
CD28	1	MGP43			 ANTIGEN CD28; CD28
CD2BP2	1	MGP43	protein_coding	CD2 (cytoplasmic tail) binding protein 2 [Source:HGNC Symbol;Acc:1656]	 CD2 ANTIGEN-BINDING PROTEIN 2; CD2BP2
CD40LG	1	MGP44	LRG_gene	CD40 ligand [Source:HGNC Symbol;Acc:11935]	c(" CD40 LIGAND; CD40LG", " CD40 LIGAND; CD40LG")
CD5L	1	MGP43			 LYMPHOCYTE ANTIGEN CD5-LIKE; CD5L
CD6	1	MGP43			 CD6 ANTIGEN; CD6
CD99P1	1	MGP43	processed_transcript	CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:7083]	
CDH23	1	MGP43			 CADHERIN 23; CDH23
CDKL5	1	MGP44	protein_coding	cyclin-dependent kinase-like 5 [Source:HGNC Symbol;Acc:11411]	 CYCLIN-DEPENDENT KINASE-LIKE 5; CDKL5
CDKN2B-AS1	1	MGP43			
CELSR3	1	MGP43			 CADHERIN EGF LAG SEVEN-PASS G-TYPE RECEPTOR 3; CELSR3
CENPJ	1	MGP43	protein_coding	centromere protein J [Source:HGNC Symbol;Acc:17272]	 CENTROMERIC PROTEIN J; CENPJ
CEP110	1	MGP43			
CES2	1	MGP43	protein_coding	carboxylesterase 2 [Source:HGNC Symbol;Acc:1864]	 CARBOXYLESTERASE 2; CES2
CHD9	1	MGP43			
CHFR	1	MGP43			 CHECKPOINT PROTEIN WITH FHA AND RING FINGER DOMAINS; CHFR
CHGB	2	MGP43			 CHROMOGRANIN B; CHGB
CHPF2	1	MGP43			 CHONDROITIN POLYMERIZING FACTOR 2; CHPF2
CHRNB4	1	MGP43			 CHOLINERGIC RECEPTOR, NEURONAL NICOTINIC, BETA POLYPEPTIDE 4; CHRNB4
CHRNG	1	MGP44	protein_coding	cholinergic receptor, nicotinic, gamma [Source:HGNC Symbol;Acc:1967]	 CHOLINERGIC RECEPTOR, NICOTINIC, GAMMA POLYPEPTIDE; CHRNG
CLASP2	1	MGP43	protein_coding	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:17078]	 CYTOPLASMIC LINKER-ASSOCIATED PROTEIN 2; CLASP2
CLCNKB	1	MGP43	protein_coding	chloride channel Kb [Source:HGNC Symbol;Acc:2027]	 CHLORIDE CHANNEL, KIDNEY, B; CLCNKB
CLEC18A	1	MGP43			
CLEC4G	1	MGP43			
CLEC4M	1	MGP43			 C-TYPE LECTIN DOMAIN FAMILY 4, MEMBER M; CLEC4M
CLRN1OS	3	MGP43			
CMAH	1	MGP43			
CNGA2	1	MGP43			 CYCLIC NUCLEOTIDE-GATED CHANNEL, ALPHA-2; CNGA2
CNOT10	1	MGP43			
CNOT2	1	MGP43			 CCR4-NOT TRANSCRIPTION COMPLEX, SUBUNIT 2; CNOT2
CNTNAP3	1	MGP41	protein_coding	contactin associated protein-like 3 [Source:HGNC Symbol;Acc:13834]	 CONTACTIN-ASSOCIATED PROTEIN-LIKE 3; CNTNAP3
COL11A1	1	MGP43			 COLLAGEN, TYPE XI, ALPHA-1; COL11A1
COL23A1	1	MGP43			 COLLAGEN, TYPE XXIII, ALPHA-1; COL23A1
COL27A1	1	MGP43			 COLLAGEN, TYPE XXVII, ALPHA-1; COL27A1
COL6A3	1	MGP43			 COLLAGEN, TYPE VI, ALPHA-3; COL6A3
COL6A5	1	MGP43			 COLLAGEN, TYPE XXIX, ALPHA-1; COL29A1
COMMD1	1	MGP43			 COMM DOMAIN-CONTAINING PROTEIN 1; COMMD1
CPA4	1	MGP43			 CARBOXYPEPTIDASE A4; CPA4
CRHR1	1	MGP43			 CORTICOTROPIN-RELEASING HORMONE RECEPTOR 1; CRHR1
CRNKL1	1	MGP43			 CROOKED NECK PRE-mRNA SPLICING FACTOR-LIKE 1; CRNKL1
CROT	1	MGP43	protein_coding	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]	 CARNITINE OCTANOYLTRANSFERASE; CROT
CSF2RA	3	MGP43	c("protein_coding", "protein_coding")	c("colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]", "colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2435]")	c(" GRANULOCYTE-MACROPHAGE COLONY-STIMULATING FACTOR RECEPTOR, ALPHA SUBUNIT,", " COLONY-STIMULATING FACTOR 2 RECEPTOR, ALPHA; CSF2RA")
CST1	1	MGP43			 CYSTATIN 1; CST1
CTSC	1	MGP43	c("protein_coding", "LRG_gene")	c("cathepsin C [Source:HGNC Symbol;Acc:2528]", "cathepsin C [Source:HGNC Symbol;Acc:2528]")	c(" CATHEPSIN C; CTSC", " CATHEPSIN C; CTSC")
CTSL3	1	MGP43	processed_transcript	cathepsin L family member 3 [Source:HGNC Symbol;Acc:33132]	
CTU2	1	MGP44			
CXCR1	1	MGP43			 CHEMOKINE, CXC MOTIF, RECEPTOR 1; CXCR1
CYB5D2	1	MGP43			
CYMP	1	MGP43			
CYP2C8	1	MGP43			 CYTOCHROME P450, SUBFAMILY IIC, POLYPEPTIDE 8; CYP2C8
CYP2D7P1	1	MGP43	polymorphic_pseudogene	cytochrome P450, family 2, subfamily D, polypeptide 7 pseudogene 1 [Source:HGNC Symbol;Acc:2624]	
CYP4A22	1	MGP43	protein_coding	cytochrome P450, family 4, subfamily A, polypeptide 22 [Source:HGNC Symbol;Acc:20575]	
CYP4F24P	1	MGP43			
CYP4F3	1	MGP43			 CYTOCHROME P450, FAMILY 4, SUBFAMILY F, POLYPEPTIDE 3; CYP4F3
CYP4F8	1	MGP43			 CYTOCHROME P450, FAMILY 4, SUBFAMILY F, POLYPEPTIDE 8; CYP4F8
DAGLB	1	MGP43			 DIACYLGLYCEROL LIPASE, BETA; DAGLB
DAPK1	1	MGP43			 DEATH-ASSOCIATED PROTEIN KINASE 1; DAPK1
DCAF4	1	MGP44	protein_coding	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:20229]	
DCDC2	1	MGP41	protein_coding	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:18141]	 DOUBLECORTIN DOMAIN-CONTAINING PROTEIN 2; DCDC2
DCHS2	1	MGP41			 DACHSOUS, DROSOPHILA, HOMOLOG OF, 2; DCHS2
DDRGK1	1	MGP43			
DDX12	1	MGP43			
DDX49	1	MGP43	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:HGNC Symbol;Acc:18684]	
DDX51	1	MGP43			
DDX60L	1	MGP43			
DEF8	1	MGP43	protein_coding	differentially expressed in FDCP 8 homolog (mouse) [Source:HGNC Symbol;Acc:25969]	
DENND2C	1	MGP43			
DFNA5	1	MGP44			 DFNA5 GENE; DFNA5
DGCR2	1	MGP43			 DIGEORGE SYNDROME CRITICAL REGION GENE 2; DGCR2
DGCR5	1	MGP43			
DGKQ	1	MGP44			 DIACYLGLYCEROL KINASE, THETA, 110-KD; DGKQ
DHDH	2	MGP43			 DIMERIC DIHYDRODIOL DEHYDROGENASE; DHDH
DHRS13	1	MGP43	protein_coding	dehydrogenase/reductase (SDR family) member 13 [Source:HGNC Symbol;Acc:28326]	
DHX34	1	MGP43			
DHX57	1	MGP43	protein_coding	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:HGNC Symbol;Acc:20086]	
DIP2A	1	MGP44			 DISCO-INTERACTING PROTEIN 2, DROSOPHILA, HOMOLOG OF, A; DIP2A
DISP1	1	MGP43	protein_coding	dispatched homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19711]	 DISPATCHED, DROSOPHILA, HOMOLOG OF, 1; DISP1
DMBT1	1	MGP43	protein_coding	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:2926]	 DELETED IN MALIGNANT BRAIN TUMORS 1; DMBT1
DNAH9	1	MGP44	protein_coding	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]	 DYNEIN, AXONEMAL, HEAVY CHAIN 9; DNAH9
DNAJA3	1	MGP44	protein_coding	DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:HGNC Symbol;Acc:11808]	 DNAJ/HSP40 HOMOLOG, SUBFAMILY A, MEMBER 3; DNAJA3
DNAJB11	1	MGP43	protein_coding	DnaJ (Hsp40) homolog, subfamily B, member 11 [Source:HGNC Symbol;Acc:14889]	 DNAJ/HSP40 HOMOLOG, SUBFAMILY B, MEMBER 11; DNAJB11
DNAJC15	1	MGP43			
DNAL1	1	MGP43	protein_coding	dynein, axonemal, light chain 1 [Source:HGNC Symbol;Acc:23247]	 DYNEIN, AXONEMAL, LIGHT CHAIN 1; DNAL1
DNHD1	1	MGP43			
DOC2GP	1	MGP43			
DPP8	1	MGP41	protein_coding	dipeptidyl-peptidase 8 [Source:HGNC Symbol;Acc:16490]	 DIPEPTIDYL PEPTIDASE VIII; DPP8
DSE	1	MGP43			 DERMATAN SULFATE EPIMERASE; DSE
DSG2	1	MGP43			 DESMOGLEIN 2; DSG2
DUOX2	1	MGP43			 DUAL OXIDASE 2; DUOX2
DYRK4	1	MGP43			 DUAL-SPECIFICITY TYROSINE PHOSPHORYLATION-REGULATED KINASE 4; DYRK4
E2F6	1	MGP43	protein_coding	E2F transcription factor 6 [Source:HGNC Symbol;Acc:3120]	 E2F TRANSCRIPTION FACTOR 6; E2F6
EEF1D	1	MGP43			 EUKARYOTIC TRANSLATION ELONGATION FACTOR 1, DELTA; EEF1D
EFCAB5	1	MGP43	protein_coding	EF-hand calcium binding domain 5 [Source:HGNC Symbol;Acc:24801]	
EFCAB7	1	MGP43			
ELL2	1	MGP43	protein_coding	elongation factor, RNA polymerase II, 2 [Source:HGNC Symbol;Acc:17064]	 ELONGATION FACTOR, RNA POLYMERASE II, 2; ELL2
ELMO3	1	MGP43			 ENGULFMENT AND CELL MOTILITY GENE 3; ELMO3
EMILIN1	1	MGP43			 ELASTIN MICROFIBRIL INTERFACER 1; EMILIN1
EML2	1	MGP43	protein_coding	echinoderm microtubule associated protein like 2 [Source:HGNC Symbol;Acc:18035]	
EPC1	1	MGP43	protein_coding	enhancer of polycomb homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19876]	 ENHANCER OF POLYCOMB, DROSOPHILA, HOMOLOG OF, 1; EPC1
EPHA2	1	MGP43	protein_coding	EPH receptor A2 [Source:HGNC Symbol;Acc:3386]	 EPHRIN RECEPTOR EphA2; EPHA2
EPHA5	1	MGP43			 EPHRIN RECEPTOR EphA5; EPHA5
EPPK1	1	MGP43	protein_coding	epiplakin 1 [Source:HGNC Symbol;Acc:15577]	 EPIPLAKIN 1; EPPK1
EPRS	1	MGP43			 GLUTAMYL-PROLYL-tRNA SYNTHETASE; EPRS
EREG	1	MGP43			 EPIREGULIN; EREG
ESRRG	1	MGP43			 ESTROGEN-RELATED RECEPTOR, GAMMA; ESRRG
ESYT2	1	MGP43			
EVC	1	MGP44	protein_coding	Ellis van Creveld syndrome [Source:HGNC Symbol;Acc:3497]	 EVC GENE; EVC
EVX2	1	MGP43			 EVEN-SKIPPED HOMEOBOX 2; EVX2
EXD2	1	MGP43	protein_coding	exonuclease 3-5 domain containing 2 [Source:HGNC Symbol;Acc:20217]	
EXOC3L1	1	MGP43	protein_coding	exocyst complex component 3-like 1 [Source:HGNC Symbol;Acc:27540]	 EXOCYST COMPLEX COMPONENT 3-LIKE 1; EXOC3L1
EXOC3L4	1	MGP43			
EXOC7	1	MGP43			 EXOCYST COMPLEX COMPONENT 7; EXOC7
F10	1	MGP43			 COAGULATION FACTOR X; F10
FA2H	1	MGP44			 FATTY ACID 2-HYDROXYLASE; FA2H
FAM104B	1	MGP43	protein_coding	family with sequence similarity 104, member B [Source:HGNC Symbol;Acc:25085]	
FAM114A1	1	MGP43			
FAM114A1;FAM114A1	1	MGP43			
FAM131C	1	MGP43	protein_coding	family with sequence similarity 131, member C [Source:HGNC Symbol;Acc:26717]	
FAM13B	1	MGP44			 CHROMOSOME 5 OPEN READING FRAME 5; C5ORF5
FAM161A	1	MGP43			 FAMILY WITH SEQUENCE SIMILARITY 161, MEMBER A; FAM161A
FAM164A	1	MGP43	protein_coding	family with sequence similarity 164, member A [Source:HGNC Symbol;Acc:24277]	
FAM182A	1	MGP43			
FAM186A	1	MGP43			
FAM20A	2	MGP43			 FAMILY WITH SEQUENCE SIMILARITY 20, MEMBER A; FAM20A
FAM20C	1	MGP43			 FAMILY WITH SEQUENCE SIMILARITY 20, MEMBER C; FAM20C
FAM38A	1	MGP43			 FAMILY WITH SEQUENCE SIMILARITY 38, MEMBER A; FAM38A
FAM45B	2	MGP43	pseudogene	family with sequence similarity 45, member B [Source:HGNC Symbol;Acc:30886]	
FAM55D	2	MGP43			
FAM66E	1	MGP43			
FAM82A2	1	MGP43			 FAMILY WITH SEQUENCE SIMILARITY 82, MEMBER A2; FAM82A2
FAM83E	1	MGP43			
FAM8A1	1	MGP43	protein_coding	family with sequence similarity 8, member A1 [Source:HGNC Symbol;Acc:16372]	
FANCA	1	MGP43			 FANCA GENE; FANCA
FANCB	1	MGP44			 FANCB GENE; FANCB
FAS	1	MGP43	LRG_gene	Fas (TNF receptor superfamily, member 6) [Source:HGNC Symbol;Acc:11920]	c(" TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 6; TNFRSF6", " TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 6; TNFRSF6")
FAT1	1	MGP44			 FAT TUMOR SUPPRESSOR, DROSOPHILA, HOMOLOG OF, 1; FAT1
FATE1	1	MGP43			 FETAL AND ADULT TESTIS-EXPRESSED GENE 1; FATE1
FBXO41	1	MGP43			 F-BOX ONLY PROTEIN 41; FBXO41
FBXW4P1	1	MGP43			
FEZ2	1	MGP43	protein_coding	fasciculation and elongation protein zeta 2 (zygin II) [Source:HGNC Symbol;Acc:3660]	 FASCICULATION AND ELONGATION PROTEIN ZETA 2; FEZ2
FGFR3	1	MGP44			 FIBROBLAST GROWTH FACTOR RECEPTOR 3; FGFR3
FHAD1	1	MGP43			
FHOD1	1	MGP43			 FORMIN HOMOLOGY-2 DOMAIN-CONTAINING PROTEIN 1; FHOD1
FKBP10	1	MGP43	LRG_gene	FK506 binding protein 10, 65 kDa [Source:HGNC Symbol;Acc:18169]	c(" FK506-BINDING PROTEIN 10; FKBP10", " PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, N, POLYPEPTIDE 2; PTPRN2", " FK506-BINDING PROTEIN 10; FKBP10", " PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, N, POLYPEPTIDE 2; PTPRN2")
FKBP1A-SDCBP2	2	MGP43	lincRNA	FKBP1A-SDCBP2 readthrough (non-protein coding) [Source:HGNC Symbol;Acc:41997]	
FLG	1	MGP43	protein_coding	filaggrin [Source:HGNC Symbol;Acc:3748]	 FILAGGRIN; FLG
FLJ22536	1	MGP43			
FLJ25328	1	MGP43			
FLJ26850	1	MGP43			
FLJ34503	1	MGP43			
FLJ43663	1	MGP43			
FLJ43860	2	MGP43			
FLJ44054	1	MGP43			
FRAS1	1	MGP43			 FRAS1 GENE; FRAS1
FRAS1;FRAS1	1	MGP43			
FRG1	1	MGP43			 FSHD GENE 1; FRG1
FSTL4	1	MGP43			
FUT3	1	MGP43			 FUCOSYLTRANSFERASE 3; FUT3
FXYD5	1	MGP43			 FXYD DOMAIN-CONTAINING ION TRANSPORT REGULATOR 5; FXYD5
GAB4	2	MGP43	protein_coding	GRB2-associated binding protein family, member 4 [Source:HGNC Symbol;Acc:18325]	
GALNTL5	2	MGP43			
GAS8,LOC100130015	1	MGP43			
GBP6	1	MGP43	protein_coding	guanylate binding protein family, member 6 [Source:HGNC Symbol;Acc:25395]	 GUANYLATE-BINDING PROTEIN 6; GBP6
GGCT	1	MGP43			 GAMMA-GLUTAMYL CYCLOTRANSFERASE; GGCT
GGNBP1	1	MGP43			 GAMETOGENETIN-BINDING PROTEIN 1; GGNBP1
GJB2	1	MGP44			 GAP JUNCTION PROTEIN, BETA-2; GJB2
GLP2R	1	MGP43	protein_coding	glucagon-like peptide 2 receptor [Source:HGNC Symbol;Acc:4325]	 GLUCAGON-LIKE PEPTIDE 2 RECEPTOR; GLP2R
GNN	1	MGP43			
GP6	1	MGP43			 GLYCOPROTEIN VI, PLATELET; GP6
GPR158	1	MGP43	protein_coding	G protein-coupled receptor 158 [Source:HGNC Symbol;Acc:23689]	
